Batch ref,Penicllin_harvested_during_batch(kg),Penicllin_harvested_end_of_batch (kg),Penicllin_yield_total (kg),Fault ref(0-NoFault 1-Fault)
1,1308,2701.1,4009.2,0
2,1256.3,1424.3,2680.6,0
3,954.4,923.27,1877.7,0
4,1337.8,2129.1,3466.9,0
5,1193.5,1369.2,2562.7,0
6,870.96,995.29,1866.3,0
7,1181.7,2261.2,3443,0
8,1436.4,2317,3753.5,0
9,1097.8,2355.2,3453,0
10,1103,2479.8,3582.7,0
11,1073.5,2391.4,3464.9,0
12,1474.7,2307.8,3782.4,0
13,1110.9,1697.2,2808,0
14,920.82,1164.8,2085.6,0
15,1086.4,1112.1,2198.5,0
16,1225.9,1381.5,2607.3,0
17,890.56,1122.2,2012.7,0
18,1333,1732.5,3065.5,0
19,1304.1,2235.2,3539.3,0
20,1159.3,2328.9,3488.3,0
21,1168.7,2376.6,3545.3,0
22,805.98,958.4,1764.4,0
23,1174.1,2238.1,3412.2,0
24,1038.3,1673.8,2712.1,0
25,1305.1,2214.5,3519.5,0
